T24,CO2 emission estimates,,,,,
12,Algeria,1985,Emissions per capita (metric tons of carbon dioxide),1.8640,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
12,Algeria,1995,Emissions per capita (metric tons of carbon dioxide),1.9150,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
12,Algeria,2005,Emissions per capita (metric tons of carbon dioxide),2.3270,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
12,Algeria,2010,Emissions per capita (metric tons of carbon dioxide),2.6450,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
12,Algeria,2015,Emissions per capita (metric tons of carbon dioxide),3.2710,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
12,Algeria,2016,Emissions per capita (metric tons of carbon dioxide),3.1430,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
12,Algeria,2017,Emissions per capita (metric tons of carbon dioxide),3.1580,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),1955.8020,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,1985,Emissions (thousand metric tons of carbon dioxide),2817.5950,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,1995,Emissions (thousand metric tons of carbon dioxide),3913.6130,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2005,Emissions (thousand metric tons of carbon dioxide),6146.6910,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2010,Emissions (thousand metric tons of carbon dioxide),15151.6840,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2015,Emissions (thousand metric tons of carbon dioxide),21532.3200,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2016,Emissions (thousand metric tons of carbon dioxide),21458.3420,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2017,Emissions (thousand metric tons of carbon dioxide),18021.3940,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.2550,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,1985,Emissions per capita (metric tons of carbon dioxide),0.2660,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,1995,Emissions per capita (metric tons of carbon dioxide),0.2740,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2005,Emissions per capita (metric tons of carbon dioxide),0.3140,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2010,Emissions per capita (metric tons of carbon dioxide),0.6480,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2015,Emissions per capita (metric tons of carbon dioxide),0.7730,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2016,Emissions per capita (metric tons of carbon dioxide),0.7450,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
24,Angola,2017,Emissions per capita (metric tons of carbon dioxide),0.6050,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,1975,Emissions (thousand metric tons of carbon dioxide),85231.7560,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,1985,Emissions (thousand metric tons of carbon dioxide),87779.2800,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,1995,Emissions (thousand metric tons of carbon dioxide),117327.9380,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2005,Emissions (thousand metric tons of carbon dioxide),149476.0400,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2010,Emissions (thousand metric tons of carbon dioxide),173768.5380,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2015,Emissions (thousand metric tons of carbon dioxide),190384.8990,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2016,Emissions (thousand metric tons of carbon dioxide),190512.0400,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2017,Emissions (thousand metric tons of carbon dioxide),183375.2030,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,1975,Emissions per capita (metric tons of carbon dioxide),3.2700,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,1985,Emissions per capita (metric tons of carbon dioxide),2.8890,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,1995,Emissions per capita (metric tons of carbon dioxide),3.3530,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2005,Emissions per capita (metric tons of carbon dioxide),3.8190,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2010,Emissions per capita (metric tons of carbon dioxide),4.2150,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2015,Emissions per capita (metric tons of carbon dioxide),4.3850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2016,Emissions per capita (metric tons of carbon dioxide),4.3450,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
32,Argentina,2017,Emissions per capita (metric tons of carbon dioxide),4.1420,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,1995,Emissions (thousand metric tons of carbon dioxide),3368.0270,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2005,Emissions (thousand metric tons of carbon dioxide),4129.8450,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2010,Emissions (thousand metric tons of carbon dioxide),4048.2530,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2015,Emissions (thousand metric tons of carbon dioxide),4702.1300,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2016,Emissions (thousand metric tons of carbon dioxide),4833.0710,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2017,Emissions (thousand metric tons of carbon dioxide),5165.5930,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,1995,Emissions per capita (metric tons of carbon dioxide),1.0470,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2005,Emissions per capita (metric tons of carbon dioxide),1.3850,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2010,Emissions per capita (metric tons of carbon dioxide),1.4070,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2015,Emissions per capita (metric tons of carbon dioxide),1.6120,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2016,Emissions per capita (metric tons of carbon dioxide),1.6520,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
51,Armenia,2017,Emissions per capita (metric tons of carbon dioxide),1.7630,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,1975,Emissions (thousand metric tons of carbon dioxide),179467.3970,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,1985,Emissions (thousand metric tons of carbon dioxide),220128.0590,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,1995,Emissions (thousand metric tons of carbon dioxide),285324.0940,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2005,Emissions (thousand metric tons of carbon dioxide),365515.1180,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2010,Emissions (thousand metric tons of carbon dioxide),383618.6730,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2015,Emissions (thousand metric tons of carbon dioxide),373846.7730,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2016,Emissions (thousand metric tons of carbon dioxide),381878.6290,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2017,Emissions (thousand metric tons of carbon dioxide),384583.8570,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,1975,Emissions per capita (metric tons of carbon dioxide),12.8480,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,1985,Emissions per capita (metric tons of carbon dioxide),13.9430,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,1995,Emissions per capita (metric tons of carbon dioxide),15.6560,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2005,Emissions per capita (metric tons of carbon dioxide),17.8730,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2010,Emissions per capita (metric tons of carbon dioxide),17.4120,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2015,Emissions per capita (metric tons of carbon dioxide),15.6970,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2016,Emissions per capita (metric tons of carbon dioxide),15.7860,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
36,Australia,2017,Emissions per capita (metric tons of carbon dioxide),15.6320,Excluding overseas territories.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,1975,Emissions (thousand metric tons of carbon dioxide),49488.7960,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,1985,Emissions (thousand metric tons of carbon dioxide),52649.0190,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,1995,Emissions (thousand metric tons of carbon dioxide),59549.0490,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2005,Emissions (thousand metric tons of carbon dioxide),74764.0260,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2010,Emissions (thousand metric tons of carbon dioxide),68571.1650,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2015,Emissions (thousand metric tons of carbon dioxide),62221.1700,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2016,Emissions (thousand metric tons of carbon dioxide),62048.7310,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2017,Emissions (thousand metric tons of carbon dioxide),64872.3940,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,1975,Emissions per capita (metric tons of carbon dioxide),6.5300,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,1985,Emissions per capita (metric tons of carbon dioxide),6.9600,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,1995,Emissions per capita (metric tons of carbon dioxide),7.4920,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2005,Emissions per capita (metric tons of carbon dioxide),9.0900,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2010,Emissions per capita (metric tons of carbon dioxide),8.2010,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2015,Emissions per capita (metric tons of carbon dioxide),7.2100,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2016,Emissions per capita (metric tons of carbon dioxide),7.0990,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
40,Austria,2017,Emissions per capita (metric tons of carbon dioxide),7.3760,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,1995,Emissions (thousand metric tons of carbon dioxide),32372.4200,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2005,Emissions (thousand metric tons of carbon dioxide),29018.4890,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2010,Emissions (thousand metric tons of carbon dioxide),23532.4760,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2015,Emissions (thousand metric tons of carbon dioxide),30806.1590,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2016,Emissions (thousand metric tons of carbon dioxide),31409.3590,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2017,Emissions (thousand metric tons of carbon dioxide),30805.8510,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,1995,Emissions per capita (metric tons of carbon dioxide),4.2120,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2005,Emissions per capita (metric tons of carbon dioxide),3.4580,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2010,Emissions per capita (metric tons of carbon dioxide),2.5990,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2015,Emissions per capita (metric tons of carbon dioxide),3.1930,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2016,Emissions per capita (metric tons of carbon dioxide),3.2190,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
31,Azerbaijan,2017,Emissions per capita (metric tons of carbon dioxide),3.1240,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),5229.8290,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,1985,Emissions (thousand metric tons of carbon dioxide),9099.7490,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,1995,Emissions (thousand metric tons of carbon dioxide),13457.5880,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2005,Emissions (thousand metric tons of carbon dioxide),20564.9120,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2010,Emissions (thousand metric tons of carbon dioxide),25551.5660,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2015,Emissions (thousand metric tons of carbon dioxide),30072.8020,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2016,Emissions (thousand metric tons of carbon dioxide),29638.9220,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2017,Emissions (thousand metric tons of carbon dioxide),29813.8340,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,1975,Emissions per capita (metric tons of carbon dioxide),19.5870,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,1985,Emissions per capita (metric tons of carbon dioxide),21.7180,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,1995,Emissions per capita (metric tons of carbon dioxide),23.8610,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2005,Emissions per capita (metric tons of carbon dioxide),23.1330,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2010,Emissions per capita (metric tons of carbon dioxide),20.5890,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2015,Emissions per capita (metric tons of carbon dioxide),21.9190,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2016,Emissions per capita (metric tons of carbon dioxide),20.7990,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
48,Bahrain,2017,Emissions per capita (metric tons of carbon dioxide),19.9690,,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
50,Bangladesh,1975,Emissions (thousand metric tons of carbon dioxide),4409.6540,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
50,Bangladesh,1985,Emissions (thousand metric tons of carbon dioxide),7705.0680,Data refer to fiscal years beginning 1 July.,"International Energy Agency, IEA World Energy Balances 2019 and 2006 IPCC Guidelines for Greenhouse Gas Inventories, last accessed June 2020."
