T27,Gross domestic expenditure on research and development (R&D),,,,,
32,Argentina,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.4706,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,Gross domestic expenditure on R & D: Business enterprises (%),26.5221,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,Gross domestic expenditure on R & D: Government (%),67.5556,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,Gross domestic expenditure on R & D: Higher education (%),4.3611,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,Gross domestic expenditure on R & D: Private non-profit (%),0.9638,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2008,Gross domestic expenditure on R & D: Funds from abroad (%),0.5969,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5610,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.6226,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,Gross domestic expenditure on R & D: Business enterprises (%),19.1509,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,Gross domestic expenditure on R & D: Government (%),74.7918,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,Gross domestic expenditure on R & D: Higher education (%),1.9938,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.5345,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2015,Gross domestic expenditure on R & D: Funds from abroad (%),3.5291,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5415,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2017,Gross domestic expenditure on R & D: Business enterprises (%),16.5161,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2017,Gross domestic expenditure on R & D: Government (%),72.6396,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2017,Gross domestic expenditure on R & D: Higher education (%),1.7541,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.5654,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
32,Argentina,2017,Gross domestic expenditure on R & D: Funds from abroad (%),8.5248,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2576,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,Gross domestic expenditure on R & D: Government (%),77.4797,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,Gross domestic expenditure on R & D: Funds from abroad (%),4.7301,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2005,Gross domestic expenditure on R & D: Not distributed (%),17.7902,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2414,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,Gross domestic expenditure on R & D: Government (%),84.5208,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,Gross domestic expenditure on R & D: Funds from abroad (%),11.6516,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2010,Gross domestic expenditure on R & D: Not distributed (%),3.8276,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2500,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,Gross domestic expenditure on R & D: Government (%),73.8182,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),2.2752,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2015,Gross domestic expenditure on R & D: Not distributed (%),23.9066,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1891,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,Gross domestic expenditure on R & D: Business enterprises (%),16.6884,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,Gross domestic expenditure on R & D: Government (%),68.6598,Break in the time series.;Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,Gross domestic expenditure on R & D: Funds from abroad (%),5.5566,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
51,Armenia,2018,Gross domestic expenditure on R & D: Not distributed (%),9.0952,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8546,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,Gross domestic expenditure on R & D: Business enterprises (%),54.6088,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,Gross domestic expenditure on R & D: Government (%),40.2724,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,Gross domestic expenditure on R & D: Higher education (%),0.3707,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,Gross domestic expenditure on R & D: Private non-profit (%),1.8806,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2004,Gross domestic expenditure on R & D: Funds from abroad (%),2.8675,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4037,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,Gross domestic expenditure on R & D: Business enterprises (%),61.9076,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,Gross domestic expenditure on R & D: Government (%),34.5955,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,Gross domestic expenditure on R & D: Higher education (%),0.1209,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,Gross domestic expenditure on R & D: Private non-profit (%),1.7658,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2008,Gross domestic expenditure on R & D: Funds from abroad (%),1.6100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.3759,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9194,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
36,Australia,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.8737,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.1661,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,Gross domestic expenditure on R & D: Business enterprises (%),47.1574,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,Gross domestic expenditure on R & D: Government (%),32.5850,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,Gross domestic expenditure on R & D: Higher education (%),0.4119,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,Gross domestic expenditure on R & D: Private non-profit (%),0.4801,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2004,Gross domestic expenditure on R & D: Funds from abroad (%),19.3657,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.3732,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,Gross domestic expenditure on R & D: Business enterprises (%),45.6225,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,Gross domestic expenditure on R & D: Government (%),35.9099,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.4320,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2005,Gross domestic expenditure on R & D: Funds from abroad (%),18.0356,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.5967,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,Gross domestic expenditure on R & D: Business enterprises (%),47.0606,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,Gross domestic expenditure on R & D: Government (%),34.9143,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,Gross domestic expenditure on R & D: Higher education (%),0.6701,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,Gross domestic expenditure on R & D: Private non-profit (%),0.5639,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2009,Gross domestic expenditure on R & D: Funds from abroad (%),16.7910,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.7261,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,Gross domestic expenditure on R & D: Business enterprises (%),45.1172,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,Gross domestic expenditure on R & D: Government (%),38.2539,Estimate.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.5421,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2010,Gross domestic expenditure on R & D: Funds from abroad (%),16.0868,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.0498,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,Gross domestic expenditure on R & D: Business enterprises (%),49.7395,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,Gross domestic expenditure on R & D: Government (%),32.5904,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,Gross domestic expenditure on R & D: Higher education (%),0.6023,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.5171,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2015,Gross domestic expenditure on R & D: Funds from abroad (%),16.5507,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.0521,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,Gross domestic expenditure on R & D: Business enterprises (%),54.6539,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,Gross domestic expenditure on R & D: Government (%),27.6159,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,Gross domestic expenditure on R & D: Higher education (%),0.7835,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.3453,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2017,Gross domestic expenditure on R & D: Funds from abroad (%),16.6015,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),3.1718,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2018,Gross domestic expenditure on R & D: Business enterprises (%),54.4265,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2018,Gross domestic expenditure on R & D: Government (%),29.3701,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2018,Gross domestic expenditure on R & D: Private non-profit (%),0.5784,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
40,Austria,2018,Gross domestic expenditure on R & D: Funds from abroad (%),15.6251,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2199,Data have been converted from the former national currency using the appropriate conversion rate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Business enterprises (%),18.7320,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Government (%),77.4993,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Higher education (%),0.0211,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Private non-profit (%),1.3154,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2005,Gross domestic expenditure on R & D: Funds from abroad (%),2.4323,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2185,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Business enterprises (%),9.6083,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Government (%),88.1923,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Higher education (%),0.3116,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Private non-profit (%),1.8653,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2010,Gross domestic expenditure on R & D: Funds from abroad (%),0.0225,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2098,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
31,Azerbaijan,2014,Gross domestic expenditure on R & D: Business enterprises (%),30.5331,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
