country,pop,continent,lifeExp,gdpPercap
Liberia,2200725,Africa,42.221,609.17395079999994
Libya,4759670,Africa,71.555,9467.446056
Madagascar,14165114,Africa,54.978,986.2958956
Malawi,10419991,Africa,47.495,692.2758103
Malaysia,20476091,Asia,71.938,10132.90964
Mali,9384984,Africa,49.903,790.2579846
Mauritania,2444741,Africa,60.43,1483.136136
Mauritius,1149818,Africa,70.736,7425.705295
Mexico,95895146,Americas,73.67,9767.29753
Mongolia,2494803,Asia,63.625,1902.2521
Montenegro,692651,Europe,75.445,6465.613349
Morocco,28529501,Africa,67.66,2982.101858
Mozambique,16603334,Africa,46.344,472.3460771
Myanmar,43247867,Asia,60.328,415
Namibia,1774766,Africa,58.909,3899.52426
Nepal,23001113,Asia,59.426,1010.892138
Netherlands,15604464,Europe,78.03,30246.13063
New Zealand,3676187,Oceania,77.55,21050.41377
Nicaragua,4609572,Americas,68.426,2253.023004
Niger,9666252,Africa,51.313,580.3052092
Nigeria,106207839,Africa,47.464,1624.941275
Norway,4405672,Europe,78.32,41283.16433
Oman,2283635,Asia,72.499,19702.05581
Pakistan,135564834,Asia,61.818,2049.350521
Panama,2734531,Americas,73.738,7113.692252
Paraguay,5154123,Americas,69.4,4247.400261
Peru,24748122,Americas,68.386,5838.347657
Philippines,75012988,Asia,68.564,2536.534925
Poland,38654957,Europe,72.75,10159.58368
Portugal,10156415,Europe,75.97,17641.03156
Puerto Rico,3759430,Americas,74.917,16999.4333
Reunion,684810,Africa,74.772,6071.941411
Romania,22562458,Europe,69.72,7346.547557
Rwanda,7212583,Africa,36.087,589.9445051
Sao Tome and Principe,145608,Africa,63.306,1339.076036
Saudi Arabia,21229759,Asia,70.533,20586.69019
Senegal,9535314,Africa,60.187,1392.368347
Serbia,10336594,Europe,72.232,7914.320304
Sierra Leone,4578212,Africa,39.897,574.6481576
Singapore,3802309,Asia,77.158,33519.4766
Slovak Republic,5383010,Europe,72.71,12126.23065
Slovenia,2011612,Europe,75.13,17161.10735
Somalia,6633514,Africa,43.795,930.5964284
South Africa,42835005,Africa,60.236,7479.188244
Spain,39855442,Europe,78.77,20445.29896
Sri Lanka,18698655,Asia,70.457,2664.477257
Sudan,32160729,Africa,55.373,1632.210764
Swaziland,1054486,Africa,54.289,3876.76846
Sweden,8897619,Europe,79.39,25266.59499
Switzerland,7193761,Europe,79.37,32135.32301
Syria,15081016,Asia,71.527,4014.238972
Taiwan,21628605,Asia,75.25,20206.82098
Tanzania,30686889,Africa,48.466,789.1862231
Thailand,60216677,Asia,67.521,5852.625497
Togo,4320890,Africa,58.39,982.2869243
Trinidad and Tobago,1138101,Americas,69.465,8792.573126
Tunisia,9231669,Africa,71.973,4876.798614
Turkey,63047647,Europe,68.835,6601.429915
Uganda,21210254,Africa,44.578,816.559081
United Kingdom,58808266,Europe,77.218,26074.53136
United States,272911760,Americas,76.81,35767.43303
Uruguay,3262838,Americas,74.223,9230.240708
Venezuela,22374398,Americas,72.146,10165.49518
Vietnam,76048996,Asia,70.672,1385.896769
West Bank and Gaza,2826046,Asia,71.096,7110.667619
Yemen Rep.,15826497,Asia,58.02,2117.484526
Zambia,9417789,Africa,40.238,1071.353818
Zimbabwe,11404948,Africa,46.809,792.4499603
